date,instance_id,instance_type,region,environment,cpu_utilization_avg,cpu_utilization_max,hours_running,cost_compute_inr,cost_storage_inr,cost_transfer_inr,cost_other_inr,cost_inr,day_of_week,month,is_weekend,utilization_band,is_idle_candidate,daily_waste_inr
2026-02-19,i-prod-0105,m5.4xlarge,us-east-1,prod,55.57,75.2,24,1728.0,400.0,122.34,21.41,2271.75,3,2,0,normal,False,0.0
2025-11-27,i-prod-0108,m5.2xlarge,ap-southeast-1,prod,44.72,62.75,24,864.0,200.0,30.4,14.83,1109.23,3,11,0,normal,False,0.0
2026-05-11,i-prod-0034,db.m5.large,ap-south-1,prod,60.16,71.27,24,960.0,500.0,61.84,11.37,1533.21,0,5,0,normal,False,0.0
2025-08-17,i-test-0122,m5.xlarge,eu-west-1,test,6.58,22.85,24,400.88,100.0,0.77,14.57,516.22,6,8,1,low,False,0.0
2025-09-03,i-prod-0105,m5.4xlarge,us-east-1,prod,55.35,66.94,24,1728.0,400.0,43.57,10.45,2182.02,2,9,0,normal,False,0.0
2025-12-12,i-test-0142,m5.2xlarge,us-west-2,test,8.78,29.44,10,360.0,200.0,6.98,10.52,577.5,4,12,0,low,False,0.0
2026-01-07,i-test-0139,c5.2xlarge,eu-west-1,test,9.92,31.14,12,360.0,100.0,1.11,11.13,472.24,2,1,0,low,False,0.0
2025-07-12,i-dev-0119,t3.medium,us-west-2,dev,35.79,43.61,0,0.0,25.0,10.96,20.9,56.86,5,7,1,normal,False,0.0
2026-02-21,i-prod-0141,m5.xlarge,us-west-2,prod,53.63,65.81,24,382.91,100.0,32.63,18.39,533.93,5,2,1,normal,False,0.0
2025-09-08,i-prod-0023,m5.2xlarge,eu-west-1,prod,46.67,56.43,24,864.0,200.0,8.72,11.79,1084.51,0,9,0,normal,False,0.0
2025-10-18,i-prod-0123,p3.2xlarge,eu-west-1,prod,55.31,60.62,24,4895.93,250.0,74.28,10.12,5230.33,5,10,1,normal,False,0.0
2025-10-24,i-test-0097,m5.xlarge,ap-southeast-1,test,44.19,54.21,12,198.72,100.0,22.64,21.2,342.56,4,10,0,normal,False,0.0
2025-05-29,i-prod-0137,m5.4xlarge,us-west-2,prod,46.91,61.08,24,2053.21,400.0,107.41,14.94,2575.56,3,5,0,normal,False,0.0
2025-09-30,i-prod-0100,c5.2xlarge,us-east-1,prod,9.67,22.19,24,845.7,100.0,294.22,17.87,1257.79,1,9,0,low,False,0.0
2025-10-07,i-prod-0083,m5.2xlarge,ap-southeast-1,prod,35.33,41.51,24,864.0,200.0,142.77,23.67,1230.44,1,10,0,normal,False,0.0
2025-08-19,i-prod-0083,m5.2xlarge,ap-southeast-1,prod,39.09,58.74,24,864.0,200.0,27.59,19.93,1111.52,1,8,0,normal,False,0.0
2025-09-13,i-stag-0145,t3.large,us-east-1,staging,48.45,73.3,0,0.0,50.0,34.51,6.95,91.46,5,9,1,normal,False,0.0
2025-10-24,i-prod-0114,m5.4xlarge,ap-southeast-1,prod,10.87,28.11,24,1589.76,400.0,183.44,21.34,2194.54,4,10,0,low,False,0.0
2026-02-21,i-test-0072,t3.medium,us-east-1,test,61.49,76.17,0,0.0,25.0,6.33,13.37,44.7,5,2,1,normal,False,0.0
2026-03-06,i-dev-0061,m5.2xlarge,eu-west-1,dev,17.71,38.06,12,432.0,200.0,34.31,23.5,689.81,4,3,0,low,False,0.0
