user_id,employee_name,department,tool,license_type,monthly_cost_inr,logins_last_30d,active_days_last_30d,last_login_date,assigned_date,truly_unused,has_ever_logged_in,days_since_last_login,usage_category,annual_cost_inr,is_recommendation_candidate
u-00001,Employee 1,Engineering,Salesforce,Enterprise,28800,48,13,2026-05-20,2025-08-30,0,True,2,active,345600,False
u-00002,Employee 2,HR,Jira,Premium,2400,0,0,,2024-04-14,1,False,999,unused,28800,True
u-00002,Employee 2,HR,Slack,Standard,700,70,17,2026-05-22,2026-02-21,0,True,0,active,8400,False
u-00002,Employee 2,HR,Figma,Premium,2080,2,1,2026-05-12,2025-02-23,1,True,10,low,24960,True
u-00003,Employee 3,Engineering,Slack,Standard,700,2,0,2026-03-26,2026-02-02,0,True,57,low,8400,True
u-00003,Employee 3,Engineering,GitHub,Premium,2880,63,26,2026-05-20,2024-03-12,0,True,2,active,34560,False
u-00003,Employee 3,Engineering,Jira,Standard,1500,60,10,2026-05-22,2024-11-14,0,True,0,active,18000,False
u-00003,Employee 3,Engineering,Salesforce,Standard,12000,116,14,2026-05-19,2024-11-07,0,True,3,active,144000,False
u-00004,Employee 4,Sales,Slack,Premium,1120,103,15,2026-05-20,2025-01-05,0,True,2,active,13440,False
u-00005,Employee 5,Finance,Jira,Enterprise,3600,115,21,2026-05-19,2024-06-16,0,True,3,active,43200,False
u-00005,Employee 5,Finance,GitHub,Enterprise,4320,46,22,2026-05-21,2025-11-04,0,True,1,active,51840,False
u-00005,Employee 5,Finance,Figma,Standard,1300,111,11,2026-05-22,2026-02-14,0,True,0,active,15600,False
u-00006,Employee 6,Sales,Jira,Standard,1500,1,0,2026-05-08,2023-12-30,1,True,14,low,18000,True
u-00006,Employee 6,Sales,Notion,Standard,900,20,21,2026-05-20,2024-01-22,0,True,2,active,10800,False
u-00007,Employee 7,Design,Jira,Enterprise,3600,40,11,2026-05-22,2025-03-18,0,True,0,active,43200,False
u-00007,Employee 7,Design,HubSpot,Standard,4500,48,19,2026-05-21,2025-11-08,0,True,1,active,54000,False
u-00008,Employee 8,HR,Salesforce,Standard,12000,1,0,2026-04-26,2025-05-10,1,True,26,low,144000,True
u-00008,Employee 8,HR,Figma,Standard,1300,0,0,,2026-01-30,1,False,999,unused,15600,True
u-00009,Employee 9,Marketing,Figma,Standard,1300,2,0,2026-05-09,2024-05-15,1,True,13,low,15600,True
u-00009,Employee 9,Marketing,Zoom,Premium,1920,111,27,2026-05-19,2025-10-27,0,True,3,active,23040,False
u-00009,Employee 9,Marketing,HubSpot,Premium,7200,52,27,2026-05-22,2025-06-05,0,True,0,active,86400,False
u-00010,Employee 10,Marketing,Jira,Premium,2400,1,1,2026-05-07,2024-04-13,1,True,15,low,28800,True
u-00010,Employee 10,Marketing,Figma,Standard,1300,47,12,2026-05-21,2025-04-09,0,True,1,active,15600,False
u-00010,Employee 10,Marketing,Zoom,Premium,1920,2,1,2026-05-03,2025-11-18,1,True,19,low,23040,True
