date,instance_id,instance_type,region,environment,cpu_utilization_avg,cpu_utilization_max,hours_running,cost_inr
2026-02-27,i-stag-002,t3.medium,us-east-1,staging,,75.01,10,40.0
2026-04-12,i-dev-001,t3.medium,ap-south-1,dev,3.67,4.02,24,96.0
2026-03-15,i-dev-001,t3.medium,ap-south-1,dev,1.59,5.38,24,96.0
2026-03-09,i-prod-003,m5.xlarge,us-east-1,prod,32.6,48.03,24,432.0
2026-02-06,i-dev-003,t3.large,us-east-1,dev,4.08,9.16,24,192.0
2026-02-01,i-test-002,t3.medium,us-east-1,test,52.98,64.24,4,16.0
2026-02-11,i-prod-005,t3.large,ap-south-1,prod,54.84,68.25,24,192.0
2026-03-18,i-prod-003,m5.xlarge,us-east-1,prod,52.73,72.24,24,432.0
2026-02-03,i-stag-002,t3.medium,us-east-1,staging,33.79,41.21,10,40.0
2026-04-17,i-prod-005,t3.large,ap-south-1,prod,54.12,66.44,24,192.0
2026-02-04,i-prod-002,m5.xlarge,ap-south-1,prod,70.14,84.61,24,432.0
2026-02-27,i-dev-003,t3.large,us-east-1,dev,2.98,4.05,24,192.0
2026-04-02,i-prod-002,m5.xlarge,ap-south-1,prod,41.68,53.23,24,432.0
2026-04-01,i-stag-001,t3.large,ap-south-1,staging,50.15,57.16,10,80.0
2026-03-06,i-test-002,t3.medium,us-east-1,test,44.99,60.03,10,40.0
2026-02-09,i-test-002,t3.medium,us-east-1,test,70.06,81.9,10,40.0
2026-03-17,i-prod-004,r5.xlarge,eu-west-1,prod,64.74,70.15,24,576.0
2026-02-12,i-test-002,t3.medium,us-east-1,test,57.82,68.36,10,40.0
2026-04-08,i-stag-001,t3.large,ap-south-1,staging,36.97,56.14,10,80.0
2026-03-19,i-prod-002,m5.xlarge,ap-south-1,prod,67.87,79.93,24,432.0
2026-02-27,i-prod-001,m5.2xlarge,ap-south-1,prod,42.1,59.07,24,864.0
2026-03-09,i-prod-006,m5.xlarge,us-east-1,prod,32.8,45.44,24,432.0
2026-02-19,i-stag-001,t3.large,ap-south-1,staging,64.36,71.46,10,80.0
2026-02-10,i-dev-003,t3.large,us-east-1,dev,3.34,6.66,24,192.0
2026-04-01,i-prod-001,m5.2xlarge,ap-south-1,prod,65.16,78.83,24,864.0
2026-02-21,i-test-001,t3.medium,ap-south-1,test,3.95,8.17,24,96.0
2026-03-24,i-test-001,t3.medium,ap-south-1,test,0.59,4.37,24,96.0
2026-04-10,i-prod-006,m5.xlarge,us-east-1,prod,52.1,71.01,24,432.0
2026-02-02,i-prod-005,t3.large,ap-south-1,prod,52.62,58.39,24,192.0
2026-02-24,i-prod-003,m5.xlarge,us-east-1,prod,52.31,58.53,24,432.0
2026-02-15,i-prod-001,m5.2xlarge,ap-south-1,prod,72.23,79.94,24,864.0
2026-04-11,i-dev-003,t3.large,us-east-1,dev,5.45,7.39,24,192.0
2026-03-24,i-ml-001,m5.2xlarge,ap-south-1,prod,43.9,85.97,24,864.0
2026-03-25,i-dev-002,t3.medium,ap-south-1,dev,3.0,5.45,24,96.0
2026-04-04,i-prod-005,t3.large,ap-south-1,prod,64.7,79.52,24,192.0
2026-03-09,i-dev-001,t3.medium,ap-south-1,dev,1.02,5.46,24,96.0
2026-03-15,i-test-002,t3.medium,us-east-1,test,59.87,79.32,4,16.0
2026-02-02,i-stag-001,t3.large,ap-south-1,staging,52.03,71.81,10,80.0
2026-03-20,i-prod-002,m5.xlarge,ap-south-1,prod,43.15,61.81,24,432.0
2026-03-28,i-stag-002,t3.medium,us-east-1,staging,33.23,48.47,4,16.0
2026-02-04,i-prod-004,r5.xlarge,eu-west-1,prod,38.79,54.62,24,576.0
2026-02-14,i-stag-001,t3.large,ap-south-1,staging,40.91,47.63,4,32.0
2026-04-24,i-dev-002,t3.medium,ap-south-1,dev,1.89,2.14,24,96.0
2026-03-24,i-dev-004,t3.medium,eu-west-1,dev,31.39,42.21,10,40.0
2026-03-15,i-prod-001,m5.2xlarge,ap-south-1,prod,38.37,55.41,24,864.0
2026-02-27,i-prod-004,r5.xlarge,eu-west-1,prod,43.12,58.55,24,576.0
2026-04-23,i-prod-004,r5.xlarge,eu-west-1,prod,30.31,38.5,24,576.0
2026-03-10,i-test-002,t3.medium,us-east-1,test,31.88,38.15,10,40.0
2026-04-16,i-prod-005,t3.large,ap-south-1,prod,64.05,75.69,24,192.0
2026-02-13,i-dev-001,t3.medium,ap-south-1,dev,2.23,2.86,24,96.0
2026-02-23,i-prod-004,r5.xlarge,eu-west-1,prod,40.43,59.57,24,576.0
2026-02-23,i-ml-001,m5.2xlarge,ap-south-1,prod,41.55,95.38,24,864.0
2026-03-10,i-dev-004,t3.medium,eu-west-1,dev,33.0,45.78,10,40.0
2026-02-01,i-prod-003,m5.xlarge,us-east-1,prod,53.52,64.94,24,432.0
2026-03-24,i-prod-002,m5.xlarge,ap-south-1,prod,61.75,77.08,24,432.0
2026-03-09,i-prod-001,m5.2xlarge,ap-south-1,prod,36.84,42.76,24,864.0
2026-02-26,i-prod-006,m5.xlarge,us-east-1,prod,70.23,78.68,24,432.0
2026-04-28,i-prod-006,m5.xlarge,us-east-1,prod,70.69,81.31,24,432.0
2026-04-21,i-test-001,t3.medium,ap-south-1,test,1.0,4.87,24,96.0
2026-03-22,i-prod-006,m5.xlarge,us-east-1,prod,52.83,70.95,24,432.0
2026-02-05,i-dev-004,t3.medium,eu-west-1,dev,58.68,74.58,10,40.0
2026-03-24,i-prod-005,t3.large,ap-south-1,prod,31.15,45.83,24,192.0
2026-02-15,i-stag-002,t3.medium,us-east-1,staging,43.56,59.78,4,16.0
2026-04-14,i-stag-001,t3.large,ap-south-1,staging,44.12,52.74,10,80.0
2026-02-22,i-test-002,t3.medium,us-east-1,test,74.45,85.86,4,16.0
2026-02-23,i-prod-002,m5.xlarge,ap-south-1,prod,69.56,88.73,24,432.0
2026-02-10,i-prod-004,r5.xlarge,eu-west-1,prod,60.81,68.25,24,576.0
2026-03-13,i-prod-002,m5.xlarge,ap-south-1,prod,39.18,52.51,24,432.0
2026-03-29,i-dev-004,t3.medium,eu-west-1,dev,58.99,64.71,4,16.0
2026-03-10,i-stag-001,t3.large,ap-south-1,staging,72.99,89.79,10,80.0
2026-04-28,i-stag-001,t3.large,ap-south-1,staging,32.28,43.67,10,80.0
2026-03-17,i-prod-006,m5.xlarge,us-east-1,prod,52.4,58.98,24,432.0
2026-03-19,i-dev-003,t3.large,us-east-1,dev,2.3,9.56,24,192.0
2026-04-17,i-dev-001,t3.medium,ap-south-1,dev,2.19,2.62,24,96.0
2026-02-21,i-ml-001,m5.2xlarge,ap-south-1,prod,25.75,82.29,24,864.0
2026-02-16,i-dev-003,t3.large,us-east-1,dev,5.36,12.82,24,192.0
2026-04-25,i-dev-001,t3.medium,ap-south-1,dev,0.77,2.86,24,96.0
2026-03-25,i-stag-001,t3.large,ap-south-1,staging,32.59,42.73,10,80.0
2026-04-14,i-dev-004,t3.medium,eu-west-1,dev,41.88,60.97,10,40.0
2026-02-03,i-prod-004,r5.xlarge,eu-west-1,prod,40.88,47.28,24,576.0
2026-02-18,i-test-001,t3.medium,ap-south-1,test,3.92,8.07,24,96.0
2026-03-06,i-prod-003,m5.xlarge,us-east-1,prod,47.59,61.51,24,432.0
2026-02-17,i-stag-002,t3.medium,us-east-1,staging,50.36,57.47,10,40.0
2026-02-25,i-prod-001,m5.2xlarge,ap-south-1,prod,57.76,77.48,24,864.0
2026-02-01,i-ml-001,m5.2xlarge,ap-south-1,prod,23.0,86.41,24,864.0
2026-03-22,i-dev-002,t3.medium,ap-south-1,dev,2.93,4.48,24,96.0
2026-04-08,i-stag-002,t3.medium,us-east-1,staging,69.73,77.77,10,40.0
2026-04-03,i-prod-005,t3.large,ap-south-1,prod,41.3,54.76,24,192.0
2026-03-18,i-dev-002,t3.medium,ap-south-1,dev,3.34,4.91,24,96.0
2026-02-18,i-dev-004,t3.medium,eu-west-1,dev,34.47,43.12,10,40.0
2026-03-03,i-prod-002,m5.xlarge,ap-south-1,prod,49.97,67.99,24,432.0
2026-03-14,i-prod-005,t3.large,ap-south-1,prod,36.64,46.56,24,192.0
2026-04-18,i-prod-006,m5.xlarge,us-east-1,prod,36.63,56.22,24,432.0
2026-04-14,i-prod-001,m5.2xlarge,ap-south-1,prod,57.92,74.06,24,864.0
2026-04-21,i-ml-001,m5.2xlarge,ap-south-1,prod,29.68,81.26,24,864.0
