user_id,employee_name,department,tool,license_type,monthly_cost_inr,logins_last_30d,active_days_last_30d,last_login_date,assigned_date,truly_unused
u-00001,Employee 1,Engineering,Salesforce,Enterprise,28800.0,48,13,2026-05-20,2025-08-30,0
u-00002,Employee 2,HR,Jira,Premium,2400.0,0,0,,2024-04-14,1
u-00002,Employee 2,HR,Slack,Standard,700.0,70,17,2026-05-22,2026-02-21,0
u-00002,Employee 2,HR,Figma,Premium,2080.0,2,1,2026-05-12,2025-02-23,1
u-00003,Employee 3,Engineering,Slack,Standard,700.0,2,0,2026-03-26,2026-02-02,0
u-00003,Employee 3,Engineering,GitHub,Premium,2880.0,63,26,2026-05-20,2024-03-12,0
u-00003,Employee 3,Engineering,Jira,Standard,1500.0,60,10,2026-05-22,2024-11-14,0
u-00003,Employee 3,Engineering,Salesforce,Standard,12000.0,116,14,2026-05-19,2024-11-07,0
u-00004,Employee 4,Sales,Slack,Premium,1120.0,103,15,2026-05-20,2025-01-05,0
u-00005,Employee 5,Finance,Jira,Enterprise,3600.0,115,21,2026-05-19,2024-06-16,0
u-00005,Employee 5,Finance,GitHub,Enterprise,4320.0,46,22,2026-05-21,2025-11-04,0
u-00005,Employee 5,Finance,Figma,Standard,1300.0,111,11,2026-05-22,2026-02-14,0
u-00006,Employee 6,Sales,Jira,Standard,1500.0,1,0,2026-05-08,2023-12-30,1
u-00006,Employee 6,Sales,Notion,Standard,900.0,20,21,2026-05-20,2024-01-22,0
u-00007,Employee 7,Design,Jira,Enterprise,3600.0,40,11,2026-05-22,2025-03-18,0
u-00007,Employee 7,Design,HubSpot,Standard,4500.0,48,19,2026-05-21,2025-11-08,0
u-00008,Employee 8,HR,Salesforce,Standard,12000.0,1,0,2026-04-26,2025-05-10,1
u-00008,Employee 8,HR,Figma,Standard,1300.0,0,0,,2026-01-30,1
u-00009,Employee 9,Marketing,Figma,Standard,1300.0,2,0,2026-05-09,2024-05-15,1
u-00009,Employee 9,Marketing,Zoom,Premium,1920.0,111,27,2026-05-19,2025-10-27,0
u-00009,Employee 9,Marketing,HubSpot,Premium,7200.0,52,27,2026-05-22,2025-06-05,0
u-00010,Employee 10,Marketing,Jira,Premium,2400.0,1,1,2026-05-07,2024-04-13,1
u-00010,Employee 10,Marketing,Figma,Standard,1300.0,47,12,2026-05-21,2025-04-09,0
u-00010,Employee 10,Marketing,Zoom,Premium,1920.0,2,1,2026-05-03,2025-11-18,1
u-00011,Employee 11,Engineering,Slack,Enterprise,1680.0,64,24,2026-05-21,2023-12-08,0
u-00011,Employee 11,Engineering,Jira,Standard,1500.0,38,10,2026-05-20,2025-07-11,0
u-00012,Employee 12,Engineering,Notion,Standard,900.0,32,15,2026-05-19,2024-03-16,0
u-00012,Employee 12,Engineering,Figma,Premium,2080.0,32,19,2026-05-22,2024-12-22,0
u-00013,Employee 13,Operations,GitHub,Standard,1800.0,1,0,2026-05-08,2024-04-02,1
u-00013,Employee 13,Operations,Figma,Premium,2080.0,1,1,2026-04-23,2026-01-04,1
u-00014,Employee 14,Sales,HubSpot,Standard,4500.0,1,1,2026-04-18,2024-04-17,0
u-00014,Employee 14,Sales,GitHub,Standard,1800.0,43,20,2026-05-22,2025-07-02,0
u-00014,Employee 14,Sales,Salesforce,Standard,12000.0,68,23,2026-05-20,2025-08-04,0
u-00015,Employee 15,Design,Slack,Standard,700.0,46,11,2026-05-20,2024-11-28,0
u-00016,Employee 16,HR,Notion,Enterprise,2160.0,101,28,2026-05-21,2024-10-03,0
u-00016,Employee 16,HR,GitHub,Standard,1800.0,66,23,2026-05-21,2024-07-19,0
u-00017,Employee 17,Finance,Slack,Standard,700.0,0,1,,2025-06-16,0
u-00018,Employee 18,Sales,Jira,Standard,1500.0,2,0,2026-05-08,2024-08-13,1
u-00018,Employee 18,Sales,Figma,Standard,1300.0,1,1,2026-04-23,2024-03-08,1
u-00019,Employee 19,HR,Slack,Standard,700.0,119,28,2026-05-21,2024-05-03,0
u-00019,Employee 19,HR,Figma,Premium,2080.0,1,0,2026-05-06,2024-08-24,1
u-00020,Employee 20,Finance,Slack,Standard,700.0,37,29,2026-05-22,2024-01-09,0
u-00021,Employee 21,Design,GitHub,Standard,1800.0,3,0,2026-04-15,2024-08-04,0
u-00021,Employee 21,Design,Jira,Premium,2400.0,104,29,2026-05-22,2023-12-29,0
u-00022,Employee 22,Operations,Zoom,Premium,1920.0,0,1,,2024-01-08,0
u-00022,Employee 22,Operations,HubSpot,Premium,7200.0,21,15,2026-05-19,2024-11-07,0
u-00023,Employee 23,Operations,Jira,Standard,1500.0,1,1,2026-04-26,2025-12-18,1
u-00023,Employee 23,Operations,Notion,Standard,900.0,43,11,2026-05-19,2025-02-20,0
u-00024,Employee 24,HR,Slack,Standard,700.0,73,14,2026-05-19,2025-01-03,0
u-00025,Employee 25,Marketing,Jira,Premium,2400.0,113,19,2026-05-22,2024-05-01,0
u-00025,Employee 25,Marketing,Slack,Standard,700.0,51,28,2026-05-20,2024-07-06,0
u-00026,Employee 26,Legal,Figma,Standard,1300.0,105,22,2026-05-21,2024-08-10,0
u-00027,Employee 27,HR,Jira,Standard,1500.0,114,25,2026-05-19,2026-01-27,0
u-00028,Employee 28,Operations,Salesforce,Standard,12000.0,55,28,2026-05-19,2025-05-18,0
u-00028,Employee 28,Operations,Slack,Premium,1120.0,56,14,2026-05-19,2026-04-13,0
u-00028,Employee 28,Operations,HubSpot,Standard,4500.0,0,0,,2024-04-16,1
u-00028,Employee 28,Operations,Zoom,Standard,1200.0,116,12,2026-05-21,2024-08-30,0
u-00029,Employee 29,Design,GitHub,Standard,1800.0,26,21,2026-05-19,2025-01-01,0
u-00029,Employee 29,Design,Salesforce,Standard,12000.0,112,21,2026-05-21,2025-06-17,0
u-00030,Employee 30,Finance,Notion,Standard,900.0,91,29,2026-05-21,2024-08-05,0
u-00030,Employee 30,Finance,Slack,Standard,700.0,32,20,2026-05-20,2025-04-20,0
u-00031,Employee 31,Legal,Figma,Standard,1300.0,1,0,2026-05-08,2026-01-14,1
u-00031,Employee 31,Legal,Notion,Standard,900.0,59,15,2026-05-21,2024-06-30,0
u-00032,Employee 32,Legal,Zoom,Standard,1200.0,64,14,2026-05-21,2025-02-16,0
u-00032,Employee 32,Legal,HubSpot,Standard,4500.0,58,18,2026-05-22,2024-05-21,0
u-00032,Employee 32,Legal,Slack,Standard,700.0,37,15,2026-05-20,2026-03-03,0
u-00032,Employee 32,Legal,Notion,Standard,900.0,50,17,2026-05-21,2024-05-05,0
u-00033,Employee 33,HR,Figma,Standard,1300.0,64,14,2026-05-19,2026-04-01,0
u-00034,Employee 34,Design,Notion,Standard,900.0,67,26,2026-05-22,2023-12-23,0
u-00035,Employee 35,Finance,Zoom,Premium,1920.0,0,0,,2024-10-04,1
u-00035,Employee 35,Finance,GitHub,Enterprise,4320.0,29,27,2026-05-19,2025-10-15,0
u-00035,Employee 35,Finance,Jira,Standard,1500.0,48,18,2026-05-19,2024-11-29,0
u-00036,Employee 36,Engineering,Salesforce,Standard,12000.0,2,1,2026-05-08,2024-12-18,1
u-00036,Employee 36,Engineering,Figma,Enterprise,3120.0,3,0,2026-03-27,2025-11-13,0
u-00037,Employee 37,Engineering,Zoom,Premium,1920.0,107,18,2026-05-21,2025-05-25,0
u-00037,Employee 37,Engineering,Notion,Premium,1440.0,60,11,2026-05-22,2024-06-01,0
u-00037,Employee 37,Engineering,Slack,Standard,700.0,56,13,2026-05-20,2025-06-06,0
u-00038,Employee 38,Design,Slack,Standard,700.0,112,10,2026-05-19,2024-12-25,0
u-00038,Employee 38,Design,Jira,Standard,1500.0,26,12,2026-05-22,2025-12-31,0
u-00039,Employee 39,Design,HubSpot,Standard,4500.0,89,12,2026-05-19,2024-05-29,0
u-00039,Employee 39,Design,GitHub,Premium,2880.0,18,14,2026-05-20,2024-03-26,0
u-00040,Employee 40,HR,Salesforce,Enterprise,28800.0,6,2,2026-05-10,2024-07-10,1
u-00040,Employee 40,HR,Notion,Premium,1440.0,78,12,2026-05-20,2026-01-18,0
u-00040,Employee 40,HR,Figma,Enterprise,3120.0,0,0,,2025-10-11,1
u-00040,Employee 40,HR,HubSpot,Premium,7200.0,68,25,2026-05-20,2024-07-25,0
u-00041,Employee 41,HR,Notion,Standard,900.0,83,19,2026-05-22,2024-03-18,0
u-00041,Employee 41,HR,Salesforce,Premium,19200.0,106,22,2026-05-19,2025-05-26,0
u-00041,Employee 41,HR,Zoom,Standard,1200.0,3,1,2026-04-20,2025-10-30,0
u-00041,Employee 41,HR,Jira,Enterprise,3600.0,90,20,2026-05-20,2024-08-13,0
u-00042,Employee 42,Marketing,HubSpot,Enterprise,10800.0,112,24,2026-05-22,2026-01-14,0
u-00042,Employee 42,Marketing,Salesforce,Enterprise,28800.0,44,21,2026-05-19,2025-09-07,0
u-00042,Employee 42,Marketing,Notion,Standard,900.0,66,22,2026-05-22,2025-05-29,0
u-00043,Employee 43,HR,Zoom,Standard,1200.0,1,0,2026-05-02,2025-05-11,1
u-00043,Employee 43,HR,GitHub,Premium,2880.0,57,12,2026-05-21,2025-12-17,0
u-00044,Employee 44,Engineering,GitHub,Standard,1800.0,34,27,2026-05-22,2024-07-12,0
u-00044,Employee 44,Engineering,Figma,Standard,1300.0,88,18,2026-05-20,2026-01-31,0
u-00044,Employee 44,Engineering,Notion,Standard,900.0,107,24,2026-05-22,2025-12-21,0
u-00045,Employee 45,Finance,Zoom,Standard,1200.0,34,19,2026-05-20,2025-09-24,0
u-00045,Employee 45,Finance,HubSpot,Standard,4500.0,73,27,2026-05-22,2024-09-23,0
